Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
FACULDADE EVANGÉLICA DE TECNOLOGIA, CIÊNCIAS E BIOTECNOLOGIA DA CGADB;FAECAD;RJ;universidade e instâncias ligadas à universidades;;;
Faculdade de Santo Ângelo;FASA;RS;universidade e instâncias ligadas à universidades;;;
Faculdade Centro Oeste Catanduvas;FACOC;SC;universidade e instâncias ligadas à universidades;;;
FACULDADES INTEGRADAS DE FERNANDÓPOLIS;FIFE;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE Ensin.E;ENSIN.E;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ;FACET;PR;universidade e instâncias ligadas à universidades;;;
Centro Universitário Univinte;;SC;universidade e instâncias ligadas à universidades;;;
Faculdade FaCiencia;FaCiencia;PR;universidade e instâncias ligadas à universidades;;;
Centro de Ensino Superior Riograndense;CESURG;RS;universidade e instâncias ligadas à universidades;;;
FACULDADE CIDADE DE COROMANDEL;FCC;MG;universidade e instâncias ligadas à universidades;;;
FACULDADES INTEGRADAS IPITANGA;FACIIP;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Unida de Campinas Goiânia - FACUNICAMPS GOIÂNIA;FACUNICAMPS;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Tecnológica Latino Americana;FATLA;RS;universidade e instâncias ligadas à universidades;;;
FACULDADE CIDADE DE GUANHÃES - FACIG;FACIG;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE DE TEOLOGIA, FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL;FATEFIG;PA;universidade e instâncias ligadas à universidades;;;
Faculdade Innovare;FACINN;SP;universidade e instâncias ligadas à universidades;;;
CONSERVATÓRIO DRAMÁTICO MUSICAL SÃO PAULO;CDMSP;SP;universidade e instâncias ligadas à universidades;;;
FACULDADES INTEGRADAS CAMÕES;FICA;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE CNEC RIO DAS OSTRAS;;RJ;universidade e instâncias ligadas à universidades;;;
FACULDADE DE TECNOLOGIA OSWALDO CRUZ;FATEC OSWALDO CRUZ;SP;universidade e instâncias ligadas à universidades;;;
Instituto Leya de Educação Superior;Leya;DF;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN;UNIPLAN;DF;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA;FACISB;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE POLITÉCNICA DE CAMPINAS;POLICAMP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Pitágoras de Bom Jesus da Lapa;;BA;universidade e instâncias ligadas à universidades;;;
FACULDADE DE ENSINO SUPERIOR DE MARECHAL CÂNDIDO RONDON;ISEPE  RONDON;PR;universidade e instâncias ligadas à universidades;;;
Faculdade Universalis;FACSALIS;SE;universidade e instâncias ligadas à universidades;;;
Faculdade do Maciço do Baturité;FMB;CE;universidade e instâncias ligadas à universidades;;;
FACULDADE DE COMUNICAÇÃO SOCIAL SANTA EFIGÊNIA;FACULDADE VEREDAS;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Alis de Itabirito;;MG;universidade e instâncias ligadas à universidades;;;
INSTITUTO DE ENSINO SUPERIOR DE TERESINA;IEST;PI;universidade e instâncias ligadas à universidades;;;
INSTITUTO SÃO PAULO DE ESTUDOS SUPERIORES;ITESP;SP;universidade e instâncias ligadas à universidades;;;
ESCOLA DA CIDADE - FACULDADE DE ARQUITETURA E URBANISMO;ESCOLA DA CIDADE;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE CNEC SANTO ÂNGELO;;RS;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO UNA DE UBERLÂNDIA;;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE CENTRO OESTE DO PARANÁ;FACEOPAR;PR;universidade e instâncias ligadas à universidades;;;
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA;IFSC;SC;universidade e instâncias ligadas à universidades;;;
FACULDADE ANHANGUERA UNIDADE GUARAPARI;;ES;universidade e instâncias ligadas à universidades;;;
Faculdade de Nova Mutum;UNIFAMA;MT;universidade e instâncias ligadas à universidades;;;
Escola Superior de Pouso Alegre;;MG;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO ALVES FARIA;UNIALFA;GO;universidade e instâncias ligadas à universidades;;;
