Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Faculdade Candido Mendes de Vitória;FCMV;ES;universidade e instâncias ligadas à universidades;;;
Faculdade Capivari;FUCAP;SC;universidade e instâncias ligadas à universidades;;;
Faculdade Capixaba de Administração e Educação;UNICES;ES;universidade e instâncias ligadas à universidades;;;
Faculdade Capixaba de Nova Venécia;UNIVEN;ES;universidade e instâncias ligadas à universidades;;;
Faculdade Carlos Drummond de Andrade;FCDA;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Casa Branca;FACAB;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Casa do Estudante;FACE;ES;universidade e instâncias ligadas à universidades;;;
Faculdade Casa do Fera Ponta Negra;FAC CDF PONTA NEGRA;RN;universidade e instâncias ligadas à universidades;;;
Faculdade Cásper Líbero;FCL;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Castelo Branco;FICAB;ES;universidade e instâncias ligadas à universidades;;;
Faculdade Castro Alves;FCA;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Católica de Anápolis;Católica de Anápolis;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Católica de Ciências Econômicas da Bahia;FACCEBA;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Católica de Uberlândia;CATÓLICA;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Católica do Ceará;FCC;CE;universidade e instâncias ligadas à universidades;;;
Faculdade Católica do Tocantins;FACTO;TO;universidade e instâncias ligadas à universidades;;;
Faculdade Católica Dom Aquino de Cuiabá;FAC;MT;universidade e instâncias ligadas à universidades;;;
Faculdade Católica Dom Orione;FACDO;TO;universidade e instâncias ligadas à universidades;;;
Faculdade Católica Nossa Senhora das Neves;FCNSN;RN;universidade e instâncias ligadas à universidades;;;
Faculdade Católica Nossa Senhora das Vitórias;FCNSV;RN;universidade e instâncias ligadas à universidades;;;
Faculdade Católica Rainha da Paz de Araputanga;FCARP;MT;universidade e instâncias ligadas à universidades;;;
Faculdade Católica Santa Teresinha;FCST;RN;universidade e instâncias ligadas à universidades;;;
Faculdade CBES;CBES;PR;universidade e instâncias ligadas à universidades;;;
Faculdade CCAA;FAC CCAA;RJ;universidade e instâncias ligadas à universidades;;;
Faculdade Cearense;FC;CE;universidade e instâncias ligadas à universidades;;;
Faculdade Cearense;FaC;CE;universidade e instâncias ligadas à universidades;;;
Faculdade Cecap do Lago Norte;CECAP;DF;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Bento Gonçalves;FACEBG;RS;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Brasília;FACEB;DF;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Campo Largo;FACECLA;PR;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Capivari;FACECAP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Itaboraí;FACNEC;RJ;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Joinville - Face;FCJ;SC;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Nova Petrópolis;FACENP;RS;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Osório;FACOS;RS;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Rondonópolis;FACER;MT;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Sete Lagoas;FCSL;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Sinop;FACENOP;MT;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Varginha;FACECA;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista de Vila Velha;FACEVV;ES;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista Ilha do Governador;FACIG;RJ;universidade e instâncias ligadas à universidades;;;
Faculdade Cenecista Nossa Senhora dos Anjos;FACENSA;RS;universidade e instâncias ligadas à universidades;;;
Faculdade Central de Cristalina;FACEC;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Centro Paulista;CESI;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Ceres;FACERES;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Certo;FACE;PI;universidade e instâncias ligadas à universidades;;;
Faculdade Chafic;CHAFIC;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Christus;Christus;CE;universidade e instâncias ligadas à universidades;;;
Faculdade Cidade de Coromandel;FCC;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Cidade de Guanhães - Facig;Facig;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Cidade de João Pinheiro;FCJP;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Cidade de Patos de Minas;FPM;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Cidade do Salvador;FCS;BA;universidade e instâncias ligadas à universidades;;;
